,name,existence,Gas,Electricity,water
12731,Cashton Water Department,0.2,,,Cashton Water Department
12732,Cason Water District,0.2,,,Cason Water District
12733,Casper Water Maintenance Grge,0.2,,,Casper Water Maintenance Grge
12734,Cass County RWD No 1,0.2,,,
12735,Cassville Waste Water Plant,0.2,,,Cassville Waste Water Plant
12736,Cassville Water Office,0.2,,,Cassville Water Office
12737,Castlewood Water & Sewage,0.2,,,Castlewood Water & Sewage
12738,Castlewood Water District,0.2,,,Castlewood Water District
12739,Cathlamet Water Plant,0.2,,,Cathlamet Water Plant
12740,Catlin City Hall,0.2,,,
12741,Cave Junction Water Plant,0.2,,,Cave Junction Water Plant
12742,Cayuga Town Clerk,0.2,,,
12743,Cazadero Water Department,0.2,,,Cazadero Water Department
12744,Cazenovia Sewer & Water Department,0.2,,,Cazenovia Sewer & Water Department
12745,CBS Service,0.2,,,
12746,Cecilia Water Corporation,0.2,,,Cecilia Water Corporation
12747,Ceco Utilities,0.2,,,
12748,Cedar Bluff Utility Board,0.2,,,
12749,Cedar Bluff Water Department,0.2,,,Cedar Bluff Water Department
12750,Cedar Gas Company,0.2,Cedar Gas Company,,
12751,Cedar Line,0.2,,,
12752,Cedar Rapids Water Distr Department,0.2,,,Cedar Rapids Water Distr Department
12753,Cedar River Water & Sewer Dst,0.2,,,Cedar River Water & Sewer Dst
12754,Cedaredge Water Treatment,0.2,,,Cedaredge Water Treatment
12755,Cedartown Water Department,0.2,,,Cedartown Water Department
12756,Cedarville Bay Water Works,0.2,,,Cedarville Bay Water Works
12757,Cefs Rural Public Transportation,0.2,,,
12758,Centennial Island Hydro Electric Co.,0.2,,Centennial Island Hydro Electric Co.,
12759,Centennial Sanitation District,0.2,,,
12760,Center Hill City Water Department,0.2,,,Center Hill City Water Department
12761,Center Point Energy Field Service,0.2,,,
12762,Center Point Energy Gas Trans,0.2,Center Point Energy Gas Trans,,
12763,Center Point Energy Ms River,0.2,,,
12764,Centerpoint Energy Entex,0.2,,,
12765,Centerpoint Energy Gas Services,0.2,Centerpoint Energy Gas Services,,
12766,Centerpoint Energy Gas Transmission,0.2,Centerpoint Energy Gas Transmission,,
12767,Centerpoint Energy Service,0.2,,,
12768,Centerpoint Entergy Minnegasco,0.2,Centerpoint Entergy Minnegasco,,
12769,Centerville Water Works,0.2,,,Centerville Water Works
12770,Central Al Electric Co-Op Inc.,0.2,,Central Al Electric Co-Op Inc.,
12771,Central City Water Authority,0.2,,,Central City Water Authority
12772,Central Grant Water Systems,0.2,,,Central Grant Water Systems
12773,Central Maine Power Co. In,0.2,,,
12774,Central Maine Power Company,0.2,,,
12775,Central Nebr Pub Power & Irrig Dist,0.2,,,
12776,Central Shoshone County Water,0.2,,,Central Shoshone County Water
12777,Central Texas Energy Consultants,0.2,,,
12778,Central Wayne Regional,0.2,,,
12779,Centralia Generation,0.2,,,
12780,Centuria Municipal Water & Sewer Utility,0.2,,,Centuria Municipal Water & Sewer Utility
12781,Centurion Gas Corporation,0.2,Centurion Gas Corporation,,
12782,Centurion Resources,0.2,,,
12783,Century Water Systems,0.2,,,Century Water Systems
12784,Certified Public Accountants Fort Collins,0.2,,,
12785,Certified Water Specialist,0.2,,,Certified Water Specialist
12786,Ces Acquisiton,0.2,,,
12787,CES Utility Solutions,0.2,,,
12788,Chalk Bluff Water Supply,0.2,,,Chalk Bluff Water Supply
12789,Chamber Energy Coalition,0.2,,,
12790,Chamberlain Water Plant,0.2,,,Chamberlain Water Plant
12791,Chamberlain Well Operators,0.2,,,
12792,Chandler Mt Greasy Cove Water Authorization,0.2,,,Chandler Mt Greasy Cove Water Authorization
12793,Chanute Pall Mall Utility,0.2,,,
12794,Chapman Foundations Management,0.2,,,
12795,Chapman Water Department,0.2,,,Chapman Water Department
12796,Chapmanville Water Department,0.2,,,Chapmanville Water Department
12797,Charles A Robinson,0.2,,,
12798,Charleston City Water Department,0.2,,,Charleston City Water Department
12799,Charleston Sewer Department,0.2,,,Charleston Sewer Department
12800,Charleston Water Service Billing,0.2,,,Charleston Water Service Billing
12801,Charlotte County Water Department,0.2,,,Charlotte County Water Department
12802,Charlotte Mecklenburg Wastewater Treatment,0.2,,,Charlotte Mecklenburg Wastewater Treatment
12803,Charlton Water District,0.2,,,Charlton Water District
12804,Chartiers Natural Gas Co.,0.2,Chartiers Natural Gas Co.,,
12805,Chatam Water Company,0.2,,,Chatam Water Company
12806,Chatelain Electric,0.2,,Chatelain Electric,
12807,Chatham County Soil & Water,0.2,,,Chatham County Soil & Water
12808,Chattooga County Water Dist,0.2,,,Chattooga County Water Dist
12809,Cheboygan Waste Water Treatment,0.2,,,Cheboygan Waste Water Treatment
12810,Cheboygan Water Department,0.2,,,Cheboygan Water Department
12811,Chehalis Water Billing,0.2,,,Chehalis Water Billing
12812,Chenega Energy,0.2,,,
12813,Cheraw Gas Company,0.2,Cheraw Gas Company,,
12814,Cherokee County Electric Co-Op,0.2,,Cherokee County Electric Co-Op,
12815,Cherokee County Electronics Cooperative Association Attorney,0.2,,Cherokee County Electronics Cooperative Association Attorney,
12816,Cherokee Water Department,0.2,,,Cherokee Water Department
12817,Cherokee Water Treatment Fac,0.2,,,Cherokee Water Treatment Fac
12818,Cherry Valley Municipal Water,0.2,,,Cherry Valley Municipal Water
12819,Cherry Valley Village of - Water Department,0.2,,,Cherry Valley Village of - Water Department
12820,Cherry Valley Water Department,0.2,,,Cherry Valley Water Department
12821,Cherryland Electric Co-Op,0.2,,Cherryland Electric Co-Op,
12822,Chesapeak Energy,0.2,,,
12823,Cheseapeake Energy,0.2,,,
12824,Chester Oil Co.,0.2,Chester Oil Co.,,
12825,Chetek Tru-Gas,0.2,Chetek Tru-Gas,,
12826,Chetopa Electric Office,0.2,,Chetopa Electric Office,
12827,Chetopa Water Office,0.2,,,Chetopa Water Office
12828,Cheyenne City Water Department,0.2,,,Cheyenne City Water Department
12829,Cheyenne River Sioux Gas,0.2,Cheyenne River Sioux Gas,,
12830,CHI Energy,0.2,,,
12831,Chicopee Water Department,0.2,,,Chicopee Water Department
12832,Childers Electric Company,0.2,,Childers Electric Company,
12833,Childersburg Sewer Maintenance,0.2,,,Childersburg Sewer Maintenance
12834,Chillicothe Sanitary District,0.2,,,
12835,Chilton Water Authority,0.2,,,Chilton Water Authority
12836,Chincoteague Water Department,0.2,,,Chincoteague Water Department
12837,Chino Desalter Authority,0.2,,,
12838,Chino Meadows Water Co.,0.2,,,Chino Meadows Water Co.
12839,Chinook Water District,0.2,,,Chinook Water District
12840,Chipeta Water District,0.2,,,Chipeta Water District
12841,Chipley Natural Gas & Water,0.2,Chipley Natural Gas & Water,,Chipley Natural Gas & Water
12842,Chipola Propane Gas Co.,0.2,Chipola Propane Gas Co.,,
12843,Chippewa Falls Water Department,0.2,,,Chippewa Falls Water Department
12844,Chlorination Co.,0.2,,,
12845,Choctaw County Rural Water,0.2,,,Choctaw County Rural Water
12846,Choctawhatchee Electric Co.,0.2,,Choctawhatchee Electric Co.,
12847,Choctawhatchee Electric Coop,0.2,,Choctawhatchee Electric Coop,
12848,Choctawhatchee Pea & Yellow Rivers Watershed,0.2,,,Choctawhatchee Pea & Yellow Rivers Watershed
12849,Choteau Water Department,0.2,,,Choteau Water Department
12850,Chowan County Water Department,0.2,,,Chowan County Water Department
12851,Chrislynn Energy Services,0.2,,,
12852,Christian Valley Park Community Service District,0.2,,,
12853,Christmas Valley Domestic,0.2,,,
12854,Church Point Water Works System,0.2,,,Church Point Water Works System
12855,Cibola Valley Irrigation,0.2,,,Cibola Valley Irrigation
12856,Cincinnati Gas & Electric Co Emergencies,0.2,Cincinnati Gas & Electric Co Emergencies,Cincinnati Gas & Electric Co Emergencies,
12857,Cincinnatus Water District,0.2,,,Cincinnatus Water District
12858,Cipco,0.2,,,
12859,Cips Company,0.2,,,
12860,Citi Gas Convenience,0.2,Citi Gas Convenience,,
12861,Citizens Gas Utility,0.2,Citizens Gas Utility,,
12862,Citizens Utilities Co. of Calif,0.2,,,
12863,City Government Conservation & Waterways Department,0.2,,,City Government Conservation & Waterways Department
12864,City Memories,0.2,,,
12865,City of Aitkin Public Utilities Office,0.2,,,
12866,City of Anniston Water Works & Sewer Board,0.2,,,City of Anniston Water Works & Sewer Board
12867,City of Augusta Water Department,0.2,,,City of Augusta Water Department
12868,City Of Big Bear Lake,0.2,,,
12869,"City of Bloomington Utilities, Customer Service",0.2,,,
12870,City Of Centralia Water Tower,0.2,,,City Of Centralia Water Tower
12871,City of Charleston Water Department,0.2,,,City of Charleston Water Department
12872,City of Cheyenne Water Department,0.2,,,City of Cheyenne Water Department
12873,City Of Columbia Gas,0.2,City Of Columbia Gas,,
12874,City Of Cornelia,0.2,,,
12875,City of Corpus Christi Public Utilities,0.2,,,
12876,City of Cottonwood Shores Water Plant,0.2,,,City of Cottonwood Shores Water Plant
12877,City Of Elizabeth City Public Utilities,0.2,,,
12878,City Of Elizabeth City Water,0.2,,,City Of Elizabeth City Water
12879,City of Florence Campgrounds,0.2,,,
12880,City of Gainesville Emergency Trouble Reporting,0.2,,,
12881,City Of Henderson Gas Department,0.2,City Of Henderson Gas Department,,
12882,City Of Henderson Utilities,0.2,,,
12883,City of Jackson Emergency,0.2,,,
12884,City of Joliet Public Utilities,0.2,,,
12885,City Of King Water Plant,0.2,,,City Of King Water Plant
12886,City of La Crosse Emergency,0.2,,,
12887,City Of Langley - Sewer Department,0.2,,,City Of Langley - Sewer Department
12888,City of Mabank Sewer Plant,0.2,,,City of Mabank Sewer Plant
12889,City of Marinette Water Utility,0.2,,,City of Marinette Water Utility
12890,City Of Marvell Water Department,0.2,,,City Of Marvell Water Department
12891,City of Mexia Water & Sewer,0.2,,,City of Mexia Water & Sewer
12892,City of Mount Airy Public Services Department,0.2,,,
12893,City of New Albany Waste Water,0.2,,,City of New Albany Waste Water
12894,City of New Bern Department of Public Utilities,0.2,,,
12895,City of Nixa Utilities,0.2,,,
12896,City of Ofallon Water Treatment Center,0.2,,,City of Ofallon Water Treatment Center
12897,City Of Paint Rock,0.2,,,
12898,City Of Pewaukee Public Works,0.2,,,
12899,City Of Phoenix Water Department,0.2,,,City Of Phoenix Water Department
12900,City of Pulaski Water Department,0.2,,,City of Pulaski Water Department
12901,City Of River Falls Municipal Utilities,0.2,,,
12902,City Of Romney Water Authority,0.2,,,City Of Romney Water Authority
12903,City of South Pittsburg Water Works & Sewage System,0.2,,,City of South Pittsburg Water Works & Sewage System
12904,City of Springfield Utilities-Electric Water & Gas Depts,0.2,City of Springfield Utilities-Electric Water & Gas Depts,City of Springfield Utilities-Electric Water & Gas Depts,City of Springfield Utilities-Electric Water & Gas Depts
12905,City of Storm Lake Public Utilities,0.2,,,
12906,City of Sturgis Water Department,0.2,,,City of Sturgis Water Department
12907,City of West Palm Beach Public Utilities & Public Works,0.2,,,
12908,City Of Westfield Treatment,0.2,,,
12909,City Town Village Township Government Green Bay-City,0.2,,,
12910,City Water & Light Office,0.2,,,City Water & Light Office
12911,City Water Works Department,0.2,,,City Water Works Department
12912,City Waterworks,0.2,,,City Waterworks
12913,City Waterworks & Power House,0.2,,,City Waterworks & Power House
12914,City West Fargo Sanitation,0.2,,,
12915,City-Pico Rivera Water Department,0.2,,,City-Pico Rivera Water Department
12916,City-Stillwater Elec Utility,0.2,,,City-Stillwater Elec Utility
12917,Clajon Industrial Gas Inc.,0.2,Clajon Industrial Gas Inc.,,
12918,Clapshaw Electric Contracting,0.2,,Clapshaw Electric Contracting,
12919,Claremore Water Office,0.2,,,Claremore Water Office
12920,Clarence Cannon Wholesale,0.2,,,
12921,Clarendon Hills Water Department,0.2,,,Clarendon Hills Water Department
12922,Clarinda Water Department,0.2,,,Clarinda Water Department
12923,Clark Electric Co-Op,0.2,,Clark Electric Co-Op,
12924,Clark Gas & Oil Co Inc.,0.2,Clark Gas & Oil Co Inc.,,
12925,Clarke Utilities,0.2,,,
12926,Clarkedale-Jericho Water System,0.2,,,Clarkedale-Jericho Water System
12927,Clarkesville Water Works,0.2,,,Clarkesville Water Works
12928,Clarksville Water Department,0.2,,,Clarksville Water Department
12929,Clay Gas & Utility District,0.2,Clay Gas & Utility District,,
12930,Clay Water Department,0.2,,,Clay Water Department
12931,Clayton-Camp Point Water Comm,0.2,,,Clayton-Camp Point Water Comm
12932,Clean Energy Site,0.2,,,
12933,Clearfield Energy,0.2,,,
12934,Clearwater Corporation-1,0.2,,,Clearwater Corporation-1
12935,Clearwater Mutual Water Co.,0.2,,,Clearwater Mutual Water Co.
12936,"Cleveland City - City Offices, Water Department",0.2,,,"Cleveland City - City Offices, Water Department"
12937,Cleveland County Rural Water,0.2,,,Cleveland County Rural Water
12938,Cleves Waterworks Department,0.2,,,Cleves Waterworks Department
12939,Clifton Waterworks Department,0.2,,,Clifton Waterworks Department
12940,Clinton City Garage,0.2,,,
12941,Clinton Water & Sewer,0.2,,,Clinton Water & Sewer
12942,Clinton Water Utility,0.2,,,Clinton Water Utility
12943,Clover Public Service District,0.2,,,
12944,Cloverdale Water District,0.2,,,Cloverdale Water District
12945,Clovis Water Maintenance Service,0.2,,,Clovis Water Maintenance Service
12946,Clutter Monster,0.2,,,
12947,CMC Energy Service NJ,0.2,,,
12948,CMS Energy,0.2,,,
12949,Cngas Group,0.2,Cngas Group,,
12950,CNX Gas,0.2,CNX Gas,,
12951,Co Energy,0.2,,,
12952,Co Serve Electric,0.2,,Co Serve Electric,
12953,Coahoma Water Department,0.2,,,Coahoma Water Department
12954,Coal Hill Water Department,0.2,,,Coal Hill Water Department
12955,Coastal Plains Irrigation,0.2,,,Coastal Plains Irrigation
12956,Coastal Refining & Marketing,0.2,,,
12957,Coastal San Luis Resource,0.2,,,
12958,Coastline Water Resources,0.2,,,Coastline Water Resources
12959,Cobra Pipeline Co.,0.2,,,
12960,Code Electric Company,0.2,,Code Electric Company,
12961,Coffey Cnty Rural Water Dist,0.2,,,Coffey Cnty Rural Water Dist
12962,Coffey County Fire District 1 Station 8,0.2,,,
12963,Coffey County Rural Water District Pump Sta,0.2,,,Coffey County Rural Water District Pump Sta
12964,Cogenex,0.2,,,
12965,Cohezia USA,0.2,,,
12966,Cohoes Water Department,0.2,,,Cohoes Water Department
12967,Colby Water Service,0.2,,,Colby Water Service
12968,Colchester Water Department,0.2,,,Colchester Water Department
12969,Cold Power,0.2,,,
12970,Coleman County Special Utility District,0.2,,,
12971,Coleman Substation,0.2,,,
12972,Coles Community Water Association,0.2,,,Coles Community Water Association
12973,Colfax Municipal Water Works,0.2,,,Colfax Municipal Water Works
12974,Collier County Water Department,0.2,,,Collier County Water Department
12975,Collinston City Hall,0.2,,,
12976,Collinsville Utilities Office,0.2,,,
12977,Colona Water Department,0.2,,,Colona Water Department
12978,Colonial Carting Co.,0.2,,,
12979,Colonial Chem Dry,0.2,,,
12980,Colonial Heights Sewer Department,0.2,,,Colonial Heights Sewer Department
12981,Colonial Heights Sewer Service,0.2,,,Colonial Heights Sewer Service
12982,Colonial Heights Water Department,0.2,,,Colonial Heights Water Department
12983,Colonial Water Company,0.2,,,Colonial Water Company
12984,Colorado Canal Company Office,0.2,,,
12985,Colorado City Water Department,0.2,,,Colorado City Water Department
12986,Colorado Intertate Gas Co.,0.2,Colorado Intertate Gas Co.,,
12987,Colquitt Electrical MMBRSHP,0.2,,Colquitt Electrical MMBRSHP,
12988,Colquitt EMC,0.2,,,
12989,Columbia City Water Department,0.2,,,Columbia City Water Department
12990,Columbia County Water Utility,0.2,,,Columbia County Water Utility
12991,Columbia Gas Co.,0.2,Columbia Gas Co.,,
12992,Columbia Gas Of Penna,0.2,Columbia Gas Of Penna,,
12993,Columbia Gas of Pennsylvania,0.2,Columbia Gas of Pennsylvania,,
12994,Columbia Gas Pa Inc.,0.2,Columbia Gas Pa Inc.,,
12995,Columbia Gas Somerset Mod,0.2,Columbia Gas Somerset Mod,,
12996,Columbia Gas Systems,0.2,Columbia Gas Systems,,
12997,Columbia Gas Transmission Co.,0.2,Columbia Gas Transmission Co.,,
12998,Columbia Natural Resources,0.2,,,
12999,Columbia Power Co-Op,0.2,,,
13000,Columbia Water Office,0.2,,,Columbia Water Office
13001,Columbus Sewer Service,0.2,,,Columbus Sewer Service
13002,Columbus Southern Power,0.2,,,
13003,Columbus Water Billing,0.2,,,Columbus Water Billing
13004,Columbus Water Department,0.2,,,Columbus Water Department
13005,Colusa Drain Mutual Water Co.,0.2,,,Colusa Drain Mutual Water Co.
13006,Colusa Water Sewer Garbage,0.2,,,Colusa Water Sewer Garbage
13007,Colville Sewer Department,0.2,,,Colville Sewer Department
13008,Comanche County Rural Water District Number 4,0.2,,,Comanche County Rural Water District Number 4
13009,Comanche County Water,0.2,,,Comanche County Water
13010,Combumex,0.2,,,
13011,ComEd - Glenbard HQ,0.2,,,
13012,Commerce City Water Department,0.2,,,Commerce City Water Department
13013,Commerce Street Department,0.2,,,
13014,Commoncents Energy,0.2,,,
13015,Commonwealth Edison Company,0.2,,,
13016,Commonwealth Lyric Theater,0.2,,,
13017,Commonwealth Service Center,0.2,,,
13018,Commonwealth Water Treatment Systems/Hague,0.2,,,Commonwealth Water Treatment Systems/Hague
13019,Community Utility,0.2,,,
13020,Company Champion Energy,0.2,,,
13021,Compass Natural Gas Partners,0.2,Compass Natural Gas Partners,,
13022,Compressed Energy System,0.2,,,
13023,Con Edison Communications,0.2,,,
13024,Con Edison Inc.,0.2,,,
13025,Con Edison Steam Distrib,0.2,,,
13026,Concord Water Department,0.2,,,Concord Water Department
13027,Concordia Electric,0.2,,Concordia Electric,
13028,Concordia Water Works District No 1,0.2,,,Concordia Water Works District No 1
13029,Conectiv Thermal Systems,0.2,,,
13030,Congress Water Improvement,0.2,,,Congress Water Improvement
13031,Conklin Water Department,0.2,,,Conklin Water Department
13032,Connecticut Light & Power,0.2,,,
13033,Connecticut Natural Gas Corporation,0.2,Connecticut Natural Gas Corporation,,
13034,Connecticut Section Amer Water,0.2,,,Connecticut Section Amer Water
13035,Connecticut Valley Electric Exchange,0.2,,Connecticut Valley Electric Exchange,
13036,Conservco Water Conservation,0.2,,,Conservco Water Conservation
13037,Consolidated Edison Company of New York,0.2,,,
13038,Consolidated Edison Devmnt,0.2,,,
13039,Consolidated Hydro,0.2,,,
13040,Consolidated Hydro Se-Piedmont,0.2,,,
13041,Consolidated Public Water SUPL,0.2,,,Consolidated Public Water SUPL
13042,Consolidated Public Water Supply District 1,0.2,,,Consolidated Public Water Supply District 1
13043,Consolidated Public Water Supply District 1 Boone County - Business Office,0.2,,,Consolidated Public Water Supply District 1 Boone County - Business Office
13044,Consolidated Rural Water,0.2,,,Consolidated Rural Water
13045,Consolidated UD of Rutherford,0.2,,,
13046,Consolidated Water Supply Dist,0.2,,,Consolidated Water Supply Dist
13047,Consolidated Waterworks/Sewerage District No 1 of The Parish of Bossier,0.2,,,Consolidated Waterworks/Sewerage District No 1 of The Parish of Bossier
13048,Constellation New Energy Republic,0.2,,,
13049,Consumer Energy Sub Station,0.2,,,
13050,Consumers Choice Marketing Save,0.2,,,
13051,Consumers Pennsylvania Water Company,0.2,,,Consumers Pennsylvania Water Company
13052,Consumers Power Comp,0.2,,,
13053,Consumers Power Northville,0.2,,,
13054,Consumers Water,0.2,,,Consumers Water
13055,Continental Energy Services,0.2,,,
13056,Continental Energy Systems,0.2,,,
13057,Control Power Concepts,0.2,,,
13058,Conway Water & Sewer Department,0.2,,,Conway Water & Sewer Department
13059,Cook Legacy,0.2,,,
13060,Coolville Water Department,0.2,,,Coolville Water Department
13061,Coopersville City Water Department,0.2,,,Coopersville City Water Department
13062,Coors Energy Co.,0.2,,,
13063,Copano Pipelines-Upper Gulf Coast,0.2,,,
13064,Copano-Houston Central Plant,0.2,,,
13065,Copiah Water Association,0.2,,,Copiah Water Association
13066,Coraopolis Water Works,0.2,,,Coraopolis Water Works
13067,Cordell Hull Utility District,0.2,,,
13068,Cordova Gas Board,0.2,Cordova Gas Board,,
13069,Cordova Water Department,0.2,,,Cordova Water Department
13070,Cordua Irrigation District,0.2,,,Cordua Irrigation District
13071,Corinna Water District,0.2,,,Corinna Water District
13072,Corkill Maintenance Co.,0.2,,,
13073,Corn Belt Electric Co-Op,0.2,,Corn Belt Electric Co-Op,
13074,Cornelia Water Billing Office,0.2,,,Cornelia Water Billing Office
13075,Corning Water District,0.2,,,Corning Water District
13076,Corning Water Office,0.2,,,Corning Water Office
13077,Corpus Chrisit Water Div,0.2,,,Corpus Chrisit Water Div
13078,Cortland City Water Board,0.2,,,Cortland City Water Board
13079,Coserve Electric,0.2,,Coserve Electric,
13080,Costar Midstream,0.2,,,
13081,Cottage Hill Water Service,0.2,,,Cottage Hill Water Service
13082,Cotter Water Department,0.2,,,Cotter Water Department
13083,Cottonwood Falls Water Department,0.2,,,Cottonwood Falls Water Department
13084,Cottonwood Rural Water Co-Op,0.2,,,Cottonwood Rural Water Co-Op
13085,Council Grove Water Department,0.2,,,Council Grove Water Department
13086,Country Terrace Water Co.,0.2,,,Country Terrace Water Co.
13087,Country Water Facilities,0.2,,,Country Water Facilities
13088,County Government Georgetown County,0.2,,,
13089,County Wide Utility Company,0.2,,,
13090,Covanta Delano,0.2,,,
13091,Covanta Projects-Wallingford,0.2,,,
13092,Covanta West Enfield Power Station,0.2,,,
13093,Covina Irrigating Co.,0.2,,,
13094,Covina Public Works Street Department,0.2,,,
13095,Covington Water & Sewer Maintenance,0.2,,,Covington Water & Sewer Maintenance
13096,Cowan Water Conditioning,0.2,,,Cowan Water Conditioning
13097,Coway North Branch,0.2,,,
13098,CPV Sentinel,0.2,,,
13099,CQ Co Rural Water District 4,0.2,,,CQ Co Rural Water District 4
13100,Crab Orchard-mac Arthur Psd,0.2,,,
13101,Craig City Water Plant,0.2,,,Craig City Water Plant
13102,Craighead Electric Co-Op,0.2,,Craighead Electric Co-Op,
13103,Craigsville Public Service District,0.2,,,
13104,Cranbury Water Department,0.2,,,Cranbury Water Department
13105,Crandon City Water Department,0.2,,,Crandon City Water Department
13106,Crawford County Rural Water,0.2,,,Crawford County Rural Water
13107,Crawford County Water Department,0.2,,,Crawford County Water Department
13108,Crawford Water Conservancy,0.2,,,Crawford Water Conservancy
13109,CRC Water Supply,0.2,,,CRC Water Supply
13110,Creek County Rural Water Dist,0.2,,,Creek County Rural Water Dist
13111,Creek Gasoline Plant,0.2,Creek Gasoline Plant,,
13112,Creekside Water,0.2,,,Creekside Water
13113,Crest Home Entertainment,0.2,,,
13114,Crestline Water Department,0.2,,,Crestline Water Department
13115,Crmwa,0.2,,,
13116,Crooked Creek Water Association,0.2,,,Crooked Creek Water Association
13117,Crooked Creek Water Supply,0.2,,,Crooked Creek Water Supply
13118,Crooks City Water Utilities,0.2,,,Crooks City Water Utilities
13119,Crosby Water & Sewer,0.2,,,Crosby Water & Sewer
13120,Crum Public,0.2,,,
13121,Cryder Well Co.,0.2,,,
13122,Crystal Water Systems Inc.,0.2,,,Crystal Water Systems Inc.
13123,Csa For Central Electric,0.2,,Csa For Central Electric,
13124,Csa For Marshall Dekalb,0.2,,,
13125,Csa For Pontotoc Electric,0.2,,Csa For Pontotoc Electric,
13126,Csa For Ripley Power & Light,0.2,,,
13127,Csa For Trenton Light And Water,0.2,,,Csa For Trenton Light And Water
13128,CSC Operations,0.2,,,
13129,CSC Operations Us Limited,0.2,,,
13130,CSR For Columbus Light & Water,0.2,,,CSR For Columbus Light & Water
13131,CSS Energy Services,0.2,,,
13132,Cta Propane,0.2,,,
13133,Cuatro Villas Mdwua,0.2,,,
13134,Cub Electric Co.,0.2,,Cub Electric Co.,
13135,Cuba Water Department,0.2,,,Cuba Water Department
13136,Cuivre River Electric Co-op,0.2,,Cuivre River Electric Co-op,
13137,Cuivre River Propane,0.2,,,
13138,Cullman Water Department Shop,0.2,,,Cullman Water Department Shop
13139,Cumberland Electric,0.2,,Cumberland Electric,
13140,Cumberland Utility,0.2,,,
13141,Cunningham Gas,0.2,Cunningham Gas,,
13142,Curry Brothers Electric,0.2,,Curry Brothers Electric,
13143,Curtin George,0.2,,,
13144,Curtis & Clark Engineering,0.2,,,
13145,Custer County Rural Water,0.2,,,Custer County Rural Water
13146,Custer Municipal Water Department,0.2,,,Custer Municipal Water Department
13147,Cylinder Mart,0.2,,,
13148,Cynergy Electric Company,0.2,,Cynergy Electric Company,
13149,Cypress Creek Water Association,0.2,,,Cypress Creek Water Association
13150,Cypress E & P,0.2,,,
13151,Cypress Forest Pud Ls1,0.2,,,
13152,Cypress Hill Mud No 1,0.2,,,
13153,Cypress Springs Sud,0.2,,,
13154,Cypress Valley Water Supply Co.,0.2,,,Cypress Valley Water Supply Co.
13155,D & C Shop,0.2,,,
13156,D & D Service & Design,0.2,,,
13157,D & H Gas,0.2,D & H Gas,,
13158,D & L Service Company,0.2,,,
13159,D And D Electric Service Corporation,0.2,,D And D Electric Service Corporation,
13160,D and R Utilities,0.2,,,
13161,D C Hopkins & Assoc,0.2,,,
13162,D E Electric Co.,0.2,,D E Electric Co.,
13163,D Electric Company,0.2,,D Electric Company,
13164,D Electric Shop,0.2,,D Electric Shop,
13165,D P Water Supply,0.2,,,D P Water Supply
13166,D Traynor Electric Corporation,0.2,,D Traynor Electric Corporation,
13167,Da Gas Benc,0.2,Da Gas Benc,,
13168,Dabaja Brothers,0.2,,,
13169,Dahlonega City Water Dstrbtn,0.2,,,Dahlonega City Water Dstrbtn
13170,Dai Oildale,0.2,Dai Oildale,,
13171,Dallas City Water Department,0.2,,,Dallas City Water Department
13172,Dallas Rural Water District,0.2,,,Dallas Rural Water District
13173,Dalton Water Association,0.2,,,Dalton Water Association
13174,Dalton Water Department,0.2,,,Dalton Water Department
13175,Danaher Corporation Gilbarco,0.2,,,
13176,Danbury Water Department,0.2,,,Danbury Water Department
13177,Danese Public Service,0.2,,,
13178,Danfora,0.2,,,
13179,Dania Beach Water Billing,0.2,,,Dania Beach Water Billing
13180,Daphne Gas Department,0.2,Daphne Gas Department,,
13181,D'arbonne Water Systems,0.2,,,D'arbonne Water Systems
13182,Darboy Joint Sanitary District,0.2,,,
13183,Dare County Pumping Plant,0.2,,,
13184,Dartmouth Water & Sewage Div,0.2,,,Dartmouth Water & Sewage Div
13185,David Goodin Mepco,0.2,,,
13186,David Western Springs Gas,0.2,David Western Springs Gas,,
13187,Davie County Water System,0.2,,,Davie County Water System
13188,Davis Gas Company,0.2,Davis Gas Company,,
13189,Davison Rural Water System,0.2,,,Davison Rural Water System
13190,Davison Water Department,0.2,,,Davison Water Department
13191,Day & Night Waters,0.2,,,Day & Night Waters
13192,Daykin Electric Corporation,0.2,,Daykin Electric Corporation,
13193,Dayton Power & Light,0.2,,,
13194,Daytona Beach Water Department,0.2,,,Daytona Beach Water Department
13195,Dbs Energy,0.2,,,
13196,De Pere Energy Center,0.2,,,
13197,De Ruyter Water Department,0.2,,,De Ruyter Water Department
13198,De Witt Water Department,0.2,,,De Witt Water Department
13199,Deanville Water Supply,0.2,,,Deanville Water Supply
13200,Deborah Aquila Casting,0.2,,,
13201,Decatur Water Bills & Accounts,0.2,,,Decatur Water Bills & Accounts
13202,Decatur Water Department,0.2,,,Decatur Water Department
13203,Decatur Water Service,0.2,,,Decatur Water Service
13204,Decherd Water Plant,0.2,,,Decherd Water Plant
13205,Dedicated Controls,0.2,,,
13206,Deep Water Wind,0.2,,,Deep Water Wind
13207,Deer Community Water Association,0.2,,,Deer Community Water Association
13208,Deer Creek Water District CMMTT,0.2,,,Deer Creek Water District CMMTT
13209,Deerhaven Generating Station,0.2,,,
13210,Deerhorn Community Water Association,0.2,,,Deerhorn Community Water Association
13211,Dehaven Well Drilling,0.2,,,
13212,Delavan Water & Sewer Office,0.2,,,Delavan Water & Sewer Office
13213,Delavan Water Superintendent,0.2,,,Delavan Water Superintendent
